t,action,vx,vy,vz,x,y,z,collided
78.05,left,2.0,1.5,0.0,91.094482421875,2.937403917312622,-12.882184982299805,0
78.55,hover,0.0,0.0,0.0,91.74011993408203,3.3202292919158936,-12.939002990722656,0
79.06,ascend,0.0,0.0,-1.0,92.06287384033203,3.5222818851470947,-13.419073104858398,0
79.56,descend,0.0,0.0,1.0,92.2366714477539,3.6324713230133057,-13.38469123840332,0
80.07,forward,3.0,0.0,0.0,92.61283874511719,3.689177989959717,-13.270929336547852,0
80.57,ascend,0.0,0.0,-1.0,93.3218994140625,3.7114291191101074,-13.720724105834961,0
81.08,ascend,0.0,0.0,-1.0,93.74575805664062,3.721404552459717,-14.27005672454834,0
81.58,descend,0.0,0.0,1.0,93.98902893066406,3.726987838745117,-14.207009315490723,0
82.08,ascend,0.0,0.0,-1.0,94.11080932617188,3.729783535003662,-14.271645545959473,0
82.59,descend,0.0,0.0,1.0,94.16938018798828,3.731127977371216,-14.195444107055664,0
83.09,right,2.0,-1.5,0.0,94.3885726928711,3.5898818969726562,-14.039362907409668,0
83.6,descend,0.0,0.0,1.0,94.83374786376953,3.269071340560913,-13.677950859069824,0
84.1,forward,3.0,0.0,0.0,95.35968017578125,3.0900044441223145,-13.60329818725586,0
84.61,hover,0.0,0.0,0.0,96.10150909423828,3.005927324295044,-13.648128509521484,0
85.11,hover,0.0,0.0,0.0,96.53722381591797,2.9656691551208496,-13.695263862609863,0
85.61,forward,3.0,0.0,0.0,96.98836517333984,2.946106195449829,-13.820170402526855,0
86.12,hover,0.0,0.0,0.0,97.67818450927734,2.935352087020874,-13.867788314819336,0
86.62,descend,0.0,0.0,1.0,98.13247680664062,2.929330348968506,-13.512054443359375,0
87.13,right,2.0,-1.5,0.0,98.52664184570312,2.7878148555755615,-13.456598281860352,0
87.63,hover,0.0,0.0,0.0,99.03943634033203,2.47202730178833,-13.507397651672363,0
88.14,right,2.0,-1.5,0.0,99.48798370361328,2.166714668273926,-13.565309524536133,0
88.64,forward,3.0,0.0,0.0,100.25187683105469,1.776910424232483,-13.696474075317383,0
89.14,right,2.0,-1.5,0.0,101.28856658935547,1.436650037765503,-13.724690437316895,0
89.65,ascend,0.0,0.0,-1.0,102.14187622070312,1.0365705490112305,-14.22778034210205,0
90.15,left,2.0,1.5,0.0,102.73921966552734,0.8707085847854614,-14.54716682434082,0
90.66,ascend,0.0,0.0,-1.0,103.34373474121094,1.0393842458724976,-15.022344589233398,0
91.16,forward,3.0,0.0,0.0,103.8883285522461,1.1809014081954956,-15.252031326293945,0
91.67,hover,0.0,0.0,0.0,104.60921478271484,1.2609459161758423,-15.272204399108887,0
92.17,hover,0.0,0.0,0.0,105.03392791748047,1.3002495765686035,-15.303543090820312,0
92.67,right,2.0,-1.5,0.0,105.39461517333984,1.2024202346801758,-15.394684791564941,0
93.18,descend,0.0,0.0,1.0,105.89540100097656,0.9197714328765869,-15.07201099395752,0
93.68,left,2.0,1.5,0.0,106.35344696044922,0.8980150818824768,-15.016068458557129,0
94.19,descend,0.0,0.0,1.0,106.91712188720703,1.1334940195083618,-14.71156120300293,0
94.69,forward,3.0,0.0,0.0,107.49270629882812,1.2747900485992432,-14.662674903869629,0
95.2,hover,0.0,0.0,0.0,108.25292205810547,1.3435384035110474,-14.720429420471191,0
95.7,right,2.0,-1.5,0.0,108.84357452392578,1.2646987438201904,-14.7993745803833,0
96.2,hover,0.0,0.0,0.0,109.44630432128906,0.99034583568573,-14.842790603637695,0
96.71,descend,0.0,0.0,1.0,109.82691955566406,0.7983564734458923,-14.485235214233398,0
97.21,descend,0.0,0.0,1.0,110.02654266357422,0.6964026689529419,-13.959676742553711,0
97.72,left,2.0,1.5,0.0,110.30078887939453,0.795939028263092,-13.933476448059082,0
98.22,left,2.0,1.5,0.0,110.91415405273438,1.2084952592849731,-14.062947273254395,0
98.72,right,2.0,-1.5,0.0,111.73420715332031,1.5571624040603638,-14.24769115447998,0
99.23,left,2.0,1.5,0.0,112.65042114257812,1.6441360712051392,-14.31375789642334,0
99.73,descend,0.0,0.0,1.0,113.49607849121094,1.8756166696548462,-14.0230131149292,0
